Depot,Code,long,lat,address,city,area,PostCode
Freightliner - Roadways Container Logistics,9049,53.4671,-2.3525,Manchester Container Base Barton Dock Road,Urmston,Trafford,M41 7BQ
W H Malcolm,9051,52.3468,-1.1351,CELTIC WAY D I R F T SOUTH,Crick,Northamptonshire,NN6 7GW
W H Malcolm,9052,56.0117,-3.7432,TILLYFLATS LAURIESTON ROAD,Grangemouth,Falkirk,FK3 8XT
P D Stirling Ltd,9053,55.8187,-4.0068,NULL,Bellshill,North Lanarkshire,ML14 1RR
EWSI Euro Terminal,9054,53.4816,-2.2362,WESTINGHOUSE ROAD TRAFFORD PARK,Manchester,Greater Manchester,M17 1FA
North Sea Ferries Terminal,9056,54.60248634,-1.141070662,Tees Dock Grangetown,Middlesbrough,Middlesbrough,TS6 6UD
Northern Containers,9057,53.7967,-1.5505,HAIGH ROAD STOURTON,Leeds,Leeds,LS10 1RT
Portland Harbour Authority,9058,50.5587,-2.4429,CASTLETOWN PORTLAND DORSET,Portland,Dorset,NULL
bangkok,1,NULL,NULL,NULL,Bangkok,,NULL
AARHUS STEVEDORE KOMPAGNI,2,NULL,NULL,"Europaplads 16, po box 259",Aarhus,Region Midtjylland,dk 8110
A.P.Moller Terminals,3,NULL,NULL,NULL,Aro,Region Syddanmark,8000
lucia,4,NULL,NULL,NULL,Geneve,Genève (fr),NULL
lucia,5,NULL,NULL,NULL,Lucko,,NULL
Loosli Sarl,6,NULL,NULL,"8a, chemin de B dex",Antwerp,Antwerpen (VLG),CH-1226
JMD Haulage,9060,53.4601,-3.0074,REGENTS ROAD,Bootle,Sefton,L20 1BL 
W H Malcolms Newhouse,9061,55.8285,-3.9085,Old Edinburgh Road Newhouse Industrial Estate,Newhouse,North Lanarkshire,ML1 5RY
Felixstowe Port Container Services,9062,51.9515,1.3342,86 PARK THE DOCK ,Felixstowe,Suffolk,IP11 4HQ
Irlam Container Terminal,9063,53.4816,-2.2362,Wharf Road Irlam,Manchester,Greater Manchester,M44 6BP
John Mitchell Ltd,9064,56.004,-3.7069,NULL,Grangemouth,Falkirk,NULL
O`Connors,9065,53.3593,-2.7309,1 the street,Widnes,Halton,L6
Ralph Morton Transport Ltd.,9066,51.9515,1.3342,PLOT C PARKER AVENUE,Felixstowe,Suffolk,IP11 4HF
Transworld,9067,53.3593,-2.7309,WANSWORTH WAY,Widnes,Halton,WA8 0TG
Bulman Marine,9068,51.5401,0.0768,84 RIVER ROAD,Barking,Barking and Dagenham,IG11 0DS
